pdb,ligand_file,chembl_id,tanimoto_index,smiles
1owh,1owh_ligand_similar_1204,CHEMBL228446,0.618421,c1(cccc(c1)C(=O)Nc1cc(ccc1)Cl)C(=O)Nc1cccc(c1)Cl
1owh,1owh_ligand_similar_1216,CHEMBL1498916,0.617284,O=C(Nc1ccc(N2CCOCC2)cc1)c1ccc(cc1)C(=O)C
1owh,1owh_ligand_similar_125,CHEMBL1330960,0.742857,O(C(=O)c1ccc(NC(=O)c2ccccc2)cc1)CC
1owh,1owh_ligand_similar_1267,CHEMBL1337111,0.55814,O=C(Nc1ccc(Nc2ccccc2)cc1)c1cc(c([N+](=O)[O-])cc1)C
1owh,1owh_ligand_similar_1274,CHEMBL528510,0.615385,CC(C)(C)Oc1ccc(NC(=O)c2ccccc2O)cc1
1owh,1owh_ligand_similar_1282,CHEMBL49728,0.615385,C(=O)(Nc1cc(c(cc1)Cl)Cl)c1ccc(cc1)CC
1owh,1owh_ligand_similar_1289,CHEMBL121389,0.566667,[N+](=O)(c1ccc(C(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc1)[O-]
1owh,1owh_ligand_similar_1292,CHEMBL535663,0.614286,C1CN(CCN1c1ccc(cc1)C(=N)NC)c1ccc(cc1)C(=N)NC
1owh,1owh_ligand_similar_1315,CHEMBL1348307,0.6125,Brc1cc(F)c(NC(=O)c2ccc(NC(=O)CC)cc2)cc1
1owh,1owh_ligand_similar_1316,CHEMBL1164063,0.6125,C(c1ccc(cc1)c1ccccc1)N(Cc1ccc(cc1)C(=O)Nc1ccccc1N)CCO
1owh,1owh_ligand_similar_1319,CHEMBL551286,0.563218,c1c(cc2c(c1)cc1c(n2)cc(cc1)NC(=O)c1ccc(cc1)[N+](=O)[O-])NC(=O)c1ccc(cc1)[N+](=O)[O-]
1owh,1owh_ligand_similar_1321,CHEMBL259601,0.6125,c1c(ccc(c1)CCCC)C(=O)Nc1cccc2c1cc(cc2)O
1owh,1owh_ligand_similar_1329,CHEMBL439028,0.530612,c1(c(ccc(c1)C(=O)O)NC(=O)c1ccccc1)[N+](=O)[O-]
1owh,1owh_ligand_similar_1330,CHEMBL333449,0.565217,[N+](=O)(c1ccc(C(=O)Nc2cc(c(C(=O)O)cc2)C(=O)O)cc1)[O-]
1owh,1owh_ligand_similar_1333,CHEMBL1983021,0.611111,Fc1ccc(C(=O)Nc2ccc(C(=O)N/N=C/c3ccccc3)cc2)cc1
1owh,1owh_ligand_similar_1335,CHEMBL1606376,0.611111,O=C(N)c1ccc(NC(=O)CCCC)cc1
1owh,1owh_ligand_similar_1339,CHEMBL143809,0.611111,[n+]1(c(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(=N)N)cc4)cc3)cc2)cccc1)C
1owh,1owh_ligand_similar_134,CHEMBL3238474,0.73913,C(=O)(c1cc(ccc1)C(=O)Nc1cccc2ccccc12)O
1owh,1owh_ligand_similar_1344,CHEMBL3112706,0.61039,c1cncc(NC(=O)c2ccc(cc2)N)c1
1owh,1owh_ligand_similar_1347,CHEMBL1733647,0.61039,Clc1c(C(=O)Nc2ccc(Nc3ccccc3)cc2)c(Cl)ccc1
1owh,1owh_ligand_similar_135,CHEMBL303207,0.73913,C(=O)(Nc1ccc(cc1)C(C)C)c1ccc(C(=O)O)cc1
1owh,1owh_ligand_similar_1367,CHEMBL261485,0.61039,c1ccc(c(c1)C(=O)Nc1cccc(c1)N)C(F)(F)F
1owh,1owh_ligand_similar_1369,CHEMBL1214519,0.61039,C(=O)(Nc1cc(ccc1)C)c1ccc(cc1)OC
1owh,1owh_ligand_similar_1371,CHEMBL1081708,0.61039,N(C(=O)CCCCCC(=O)Nc1ccc(cc1)C(=N)N)c1ccc(cc1)C(=N)N
1owh,1owh_ligand_similar_1386,CHEMBL229297,0.61039,c1c(c(ccc1)Cl)C(=O)Nc1ccc(cc1)O
1owh,1owh_ligand_similar_1388,CHEMBL95830,0.61039,C(=O)(c1c(SC)cccc1)Nc1ccccc1
1owh,1owh_ligand_similar_1393,CHEMBL4099853,0.609756,FC(F)(c1cccc(C(=O)Nc2cc(ccc2)C(=O)O)c1)F
1owh,1owh_ligand_similar_1395,CHEMBL3634087,0.609756,c1c(ccc(c1)OCc1ccc(cc1)C(=O)N(c1ccccc1)C)OCC
1owh,1owh_ligand_similar_140,CHEMBL1511714,0.738462,O=C(Nc1ccc(NC(=O)CC)cc1)c1c2c(ccc1)cccc2
1owh,1owh_ligand_similar_1404,CHEMBL1730750,0.609756,O=C(Nc1ccc(cc1)CN1CCCCC1)c1c(cc(cc1)C)C
1owh,1owh_ligand_similar_141,CHEMBL1503179,0.738462,Brc1c2c(c(C(=O)Nc3ccccc3)ccc2)ccc1
1owh,1owh_ligand_similar_1419,CHEMBL329660,0.609756,C(=O)(c1c(C(=O)O)cccc1)Nc1cc(Cl)ccc1
1owh,1owh_ligand_similar_1424,CHEMBL8283,0.609195,C(=O)(Nc1cc(CCC(=O)O)ccc1)c1ccc(C(=N)N)cc1
1owh,1owh_ligand_similar_1438,CHEMBL3770196,0.607595,c1cc(cc(c1)NC(=O)c1c(cccc1)Cl)C(=O)Nc1cccc2c1cccc2
1owh,1owh_ligand_similar_1443,CHEMBL2441149,0.607595,c1ccc2c(c1)c(c(cc2)C(=O)Nc1cc(ccc1)C(F)(F)F)O
1owh,1owh_ligand_similar_1445,CHEMBL2407271,0.607595,c1c(ccc(c1)C(=O)Nc1ccc(cc1)N1CCN(CC1)C(C)C)c1ccccc1
1owh,1owh_ligand_similar_1451,CHEMBL1574949,0.607595,Fc1c(NC(=O)c2ccc(C(=O)c3ccccc3)cc2)cccc1
1owh,1owh_ligand_similar_1456,CHEMBL1430327,0.607595,Clc1c(C(=O)Nc2ccc(Nc3ccccc3)cc2)ccc(c1)C
1owh,1owh_ligand_similar_147,CHEMBL3287836,0.736111,C(=O)(Nc1ccc(cc1)C(=O)O)c1cc2c(c(ccc2c2ccccc2)c2ccccc2)cc1
1owh,1owh_ligand_similar_1472,CHEMBL303335,0.607595,C(=O)(c1c(O)cccc1)Nc1ccc(NC(=N)N)cc1
1owh,1owh_ligand_similar_1474,CHEMBL261597,0.545455,c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(F)(F)F)[N+](=O)[O-]
1owh,1owh_ligand_similar_1477,CHEMBL3692060,0.607143,NS(=O)(=O)c1ccc(NC(=O)c2ccc3cc(ccc3c2)C(=O)O)cc1
1owh,1owh_ligand_similar_149,CHEMBL3934251,0.734375,O=C(Nc1ccccc1)c1cc(CNc2ccccc2)cc(CNc2ccccc2)c1
1owh,1owh_ligand_similar_1497,CHEMBL2035389,0.604938,c1(cccc(c1)NC(=O)CNc1ccc(cc1)C(=O)Nc1c(cccc1)N)Cl
1owh,1owh_ligand_similar_1510,CHEMBL1375165,0.604938,O(c1c(NC(=O)c2ccc(C(=O)Nc3c(OCC)cccc3)cc2)cccc1)CC
1owh,1owh_ligand_similar_1524,CHEMBL134614,0.604938,S(=O)(=O)(Nc1ccc(C(=O)Nc2ccc(C(C)(C)C)cc2)cc1)N(C)C
1owh,1owh_ligand_similar_1527,CHEMBL2041322,0.604651,c1cccc(c1)C(=O)Nc1ccccc1C(=O)Nc1ccc(cc1)C(=O)OCC
1owh,1owh_ligand_similar_1530,CHEMBL1447121,0.541667,O=C(Nc1ccc(cc1)C(=O)OCC)c1c([N+](=O)[O-])cccc1
1owh,1owh_ligand_similar_1545,CHEMBL3186206,0.602564,FC(F)(F)c1c(C(=O)Nc2cc(NC(=O)c3ccccc3)ccc2)cccc1
1owh,1owh_ligand_similar_1546,CHEMBL3186030,0.602564,O=C(Nc1cc(NC(=O)c2ccccc2)ccc1)c1ccc(OC)cc1
1owh,1owh_ligand_similar_1552,CHEMBL1940773,0.602564,c1cccc(c1O)C(=O)Nc1cc(ccc1)F
1owh,1owh_ligand_similar_1556,CHEMBL1882260,0.602564,Fc1cc(C(=O)Nc2cc(NC(=O)C(C)C)ccc2)ccc1
1owh,1owh_ligand_similar_1564,CHEMBL1359563,0.602564,O=C(Nc1ccc(NC(=O)Nc2ccccc2)cc1)c1c(O)cccc1
1owh,1owh_ligand_similar_1570,CHEMBL171592,0.602564,C(=O)(Nc1cc(NC(=O)c2ccc(cc2)OC)ccc1)c1ccc(cc1)OC
1owh,1owh_ligand_similar_158,CHEMBL314582,0.732394,C(=O)(c1c(O)cccc1)Nc1ccc(C(=O)O)cc1
1owh,1owh_ligand_similar_1582,CHEMBL460481,0.602564,c1cccc(c1O)C(=O)Nc1cc(ccc1)Cl
1owh,1owh_ligand_similar_1587,CHEMBL297255,0.602564,C(=O)(Nc1cc(NC(=O)c2cc(c(cc2)O)O)ccc1)c1cc(c(cc1)O)O
1owh,1owh_ligand_similar_1591,CHEMBL237824,0.602564,c1(cc(cc(c1)C(=O)Nc1ccc(cc1)Cl)F)F
1owh,1owh_ligand_similar_161,CHEMBL87736,0.732394,C(=O)(Nc1ccc(C(=O)O)cc1)c1ccc(cc1)F
1owh,1owh_ligand_similar_1616,CHEMBL3335134,0.60241,c1(ccc(cc1)C(=O)Nc1ccc(cc1)I)CN1CCOCC1
1owh,1owh_ligand_similar_1619,CHEMBL121700,0.60241,C(c1ccc(C(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc1)(F)(F)F
1owh,1owh_ligand_similar_162,CHEMBL4064063,0.731343,C(=O)(c1ccc(cc1)NC(=O)c1ccccc1)NCC(C)C
1owh,1owh_ligand_similar_166,CHEMBL601040,0.731343,c1c(ccc(c1)NC(=O)c1ccc(cc1)N(CCCl)CCCl)C
1owh,1owh_ligand_similar_167,CHEMBL589120,0.731343,N(C(=O)c1ccc(cc1)N(CCCl)CCCl)(c1ccccc1)C
1owh,1owh_ligand_similar_17,CHEMBL3692064,0.854839,OC(=O)c1ccc(NC(=O)c2ccc3cc(ccc3c2)C(=O)O)cc1
1owh,1owh_ligand_similar_170,CHEMBL45516,0.731343,N(C(=O)c1cc(c(NC(=O)C)cc1)C)c1c(cccc1C)C
1owh,1owh_ligand_similar_175,CHEMBL1214574,0.727273,C(=O)(Nc1cc(cc(c1)C)C)c1ccc(cc1)C
1owh,1owh_ligand_similar_181,CHEMBL2135348,0.723077,O=C(N(C(=O)c1ccccc1)c1ccccc1)c1ccccc1
1owh,1owh_ligand_similar_184,CHEMBL1566905,0.723077,O=C(N(c1ccccc1)C)c1cc(C(=O)N(c2ccccc2)C)ccc1
1owh,1owh_ligand_similar_185,CHEMBL229937,0.723077,c1cccc(c1)C(=O)Nc1ccc(cc1)O
1owh,1owh_ligand_similar_187,CHEMBL36691,0.723077,C(=O)(Nc1cc(ccc1)C)c1cc(N)ccc1
1owh,1owh_ligand_similar_2,CHEMBL320749,0.965517,C(=O)(c1cc2c(cc(C(=N)N)cc2)cc1)Nc1ccc(C(=O)N)cc1
1owh,1owh_ligand_similar_200,CHEMBL1495376,0.716418,Clc1ccc(C(=O)Nc2cc3c(cc2)cccc3)cc1
1owh,1owh_ligand_similar_201,CHEMBL1402386,0.716418,Fc1cc(C(=O)Nc2cc3c(cc2)cccc3)ccc1
1owh,1owh_ligand_similar_213,CHEMBL45879,0.716418,N(C(=O)c1cc(c(c(c1)C)N)C)c1c(cccc1C)C
1owh,1owh_ligand_similar_216,CHEMBL532256,0.714286,NC(=N)c1ccc(NCc2cccc(c2)C(=O)O)cc1
1owh,1owh_ligand_similar_234,CHEMBL1325967,0.708333,O=C(Nc1ccc(cc1)CN1CCOCC1)c1cc2c(cc1)cccc2
1owh,1owh_ligand_similar_237,CHEMBL1945241,0.705882,c1c(cc2c(c1)cc(cc2)C(=O)Nc1ccccc1)OC
1owh,1owh_ligand_similar_24,CHEMBL1330614,0.842105,O=C(Nc1c2c(ccc1)cccc2)c1ccccc1
1owh,1owh_ligand_similar_250,CHEMBL1214149,0.704225,C(=O)(Nc1ccc(C(=O)C)cc1)c1ccc(C#N)cc1
1owh,1owh_ligand_similar_26,CHEMBL71186,0.83871,C(=O)(Nc1ccc(C(=O)O)cc1)c1ccccc1
1owh,1owh_ligand_similar_261,CHEMBL1214465,0.701493,C(=O)(Nc1cc(ccc1)C)c1c(C)cccc1
1owh,1owh_ligand_similar_27,CHEMBL1945663,0.836066,OC(=O)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1
1owh,1owh_ligand_similar_278,CHEMBL395434,0.698413,c1c(ccc(c1)NCc1ccccc1)C(=O)C
1owh,1owh_ligand_similar_297,CHEMBL4081854,0.693333,FC(F)(c1cccc(C(=O)Nc2ccc(cc2)C(=O)O)c1)F
1owh,1owh_ligand_similar_298,CHEMBL1531619,0.693333,O=C(Nc1ccc(cc1)C(=O)OCC)c1c(cccc1)C
1owh,1owh_ligand_similar_299,CHEMBL1487804,0.693333,c1(C(=O)O)c(cc(NC(=O)c2ccccc2)cc1)O
1owh,1owh_ligand_similar_300,CHEMBL1214406,0.693333,C(=O)(Nc1ccc(C(=O)OC)cc1)c1ccc(cc1)CC
1owh,1owh_ligand_similar_303,CHEMBL3185736,0.691176,O=C(Nc1cc(NC(=O)c2cc(ccc2)C)ccc1)c1cc(ccc1)C
1owh,1owh_ligand_similar_309,CHEMBL1529752,0.691176,Clc1c(NC(=O)c2ccccc2)cccc1
1owh,1owh_ligand_similar_312,CHEMBL1310568,0.691176,O=C(Nc1cc(NC(=O)c2ccccc2)ccc1)c1cc(ccc1)C
1owh,1owh_ligand_similar_313,CHEMBL333685,0.691176,c1c(ccc(c1)C(=O)Nc1ccc(cc1)O)O
1owh,1owh_ligand_similar_32,CHEMBL151826,0.830508,C(=O)(Nc1c2c(ccc1)cccc2)c1ccc(cc1)CN
1owh,1owh_ligand_similar_325,CHEMBL252782,0.690141,c1c(ccc(c1)C(=O)Nc1ccc(cc1)C(C)(C)C)C(F)(F)F
1owh,1owh_ligand_similar_33,CHEMBL115523,0.824561,C(=O)(Nc1ccccc1)c1ccccc1
1owh,1owh_ligand_similar_357,CHEMBL86532,0.684932,C(=O)(c1c(C(=O)O)cccc1)Nc1ccccc1
1owh,1owh_ligand_similar_370,CHEMBL1730344,0.681159,Brc1c(C(=O)Nc2ccc(NC(=O)C)cc2)cccc1
1owh,1owh_ligand_similar_372,CHEMBL1372715,0.681159,Brc1ccc(CNc2ccc(cc2)C(=O)O)cc1
1owh,1owh_ligand_similar_374,CHEMBL1340871,0.681159,Brc1c(C(=O)Nc2ccc(Br)cc2)cccc1
1owh,1owh_ligand_similar_385,CHEMBL229887,0.681159,c1c(cc(cc1)C)C(=O)Nc1ccc(cc1)O
1owh,1owh_ligand_similar_396,CHEMBL1377906,0.680556,Brc1c(C(=O)Nc2ccc(C(=O)Nc3cc(ccc3)C)cc2)cccc1
1owh,1owh_ligand_similar_401,CHEMBL260550,0.620253,c1(ccc(cc1)NC(=O)c1ccc(cc1)[N+](=O)[O-])C(F)(F)F
1owh,1owh_ligand_similar_402,CHEMBL3692069,0.68,OC(=O)c1ccc2cc(ccc2c1)C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O
1owh,1owh_ligand_similar_405,CHEMBL3322041,0.68,c1c(ccc(c1)N(C(=O)c1ccc(cc1)C)C)C(C(F)(F)F)(C(F)(F)F)O
1owh,1owh_ligand_similar_417,CHEMBL1883746,0.676056,O=C(Nc1cc(ccc1)C(=O)C)c1c2c(ccc1)cccc2
1owh,1owh_ligand_similar_422,CHEMBL1518431,0.676056,Fc1ccc(NC(=O)c2ccc(C(=O)N(CC)CC)cc2)cc1
1owh,1owh_ligand_similar_423,CHEMBL1361569,0.676056,O=C(Nc1ccc(N2CCN(CC2)C)cc1)c1ccc(cc1)C
1owh,1owh_ligand_similar_428,CHEMBL358786,0.676056,c1(C(=O)Nc2ccc(cc2)O)c(cc2c(c1)cccc2O)O
1owh,1owh_ligand_similar_433,CHEMBL123261,0.615385,[N+](=O)(c1ccc(C(=O)Nc2cc(NC(=O)c3ccc([N+](=O)[O-])cc3)ccc2)cc1)[O-]
1owh,1owh_ligand_similar_436,CHEMBL1795737,0.641026,c1cccc(c1)NC(=O)c1ccc(cc1)CO[N+](=O)[O-]
1owh,1owh_ligand_similar_438,CHEMBL198666,0.675676,c1cccc(c1C(=O)O)NC(=O)c1ccccc1
1owh,1owh_ligand_similar_440,CHEMBL1700712,0.675325,O=C(Nc1ccc(cc1)C(=O)OC)c1c(C(=O)Nc2ccc(cc2)C(=O)OC)cccc1
1owh,1owh_ligand_similar_452,CHEMBL1519118,0.671429,Fc1c(C(=O)Nc2ccc(NC(=O)C)cc2)cccc1
1owh,1owh_ligand_similar_47,CHEMBL67711,0.796875,C(=O)(Nc1c2c(ccc1)cccc2)c1ccc(C(=O)O)cc1
1owh,1owh_ligand_similar_471,CHEMBL589830,0.671233,c1c(ccc(c1)NC(=O)c1ccc(cc1)N(CCCl)CCCl)Cl
1owh,1owh_ligand_similar_485,CHEMBL3827595,0.666667,c1cc(c(cc1)NC(=O)c1ccc(cc1)C)C(=O)N
1owh,1owh_ligand_similar_486,CHEMBL3401878,0.666667,c1c(cc2c(c1)cc(cc2)C(=O)Nc1ccc(cc1)Cl)O
1owh,1owh_ligand_similar_49,CHEMBL260457,0.79661,c1cccc(c1)C(=O)Nc1ccc(cc1)N
1owh,1owh_ligand_similar_491,CHEMBL3126653,0.666667,c1ccc2c(c1)c(ccn2)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)N
1owh,1owh_ligand_similar_50,CHEMBL1795740,0.793651,c1cccc(c1)NC(=O)c1ccc(cc1)CO
1owh,1owh_ligand_similar_506,CHEMBL1513660,0.592593,O=C(Nc1c2c(ccc1)cccc2)c1cc([N+](=O)[O-])ccc1
1owh,1owh_ligand_similar_508,CHEMBL1438294,0.666667,O=C(Nc1ccc(N2CCCC2)cc1)c1ccc(cc1)C
1owh,1owh_ligand_similar_511,CHEMBL1337512,0.666667,O=C(NCCOC)c1ccc(NC(=O)C)cc1
1owh,1owh_ligand_similar_518,CHEMBL438679,0.666667,c1(cccc(c1)C(=O)Nc1ccc(cc1)C#N)C(=O)Nc1ccc(cc1)C#N
1owh,1owh_ligand_similar_522,CHEMBL260465,0.666667,c1c(ccc(c1)CCCC)C(=O)Nc1ccccc1
1owh,1owh_ligand_similar_528,CHEMBL228590,0.666667,c1cc(ccc1C(=O)Nc1cc(cc(c1)Cl)Cl)C(=O)Nc1cc(cc(c1)Cl)Cl
1owh,1owh_ligand_similar_533,CHEMBL63411,0.666667,c1(C(=O)Nc2cc(N)ccc2)cc2c(cc1O)cccc2
1owh,1owh_ligand_similar_550,CHEMBL1590352,0.661972,Fc1c(F)ccc(NC(=O)c2ccccc2)c1
1owh,1owh_ligand_similar_552,CHEMBL1555432,0.594937,O=C(Nc1cc([N+](=O)[O-])ccc1)c1ccccc1
1owh,1owh_ligand_similar_571,CHEMBL117760,0.661972,C(=O)(Nc1c(O)cccc1)c1ccc(cc1)O
1owh,1owh_ligand_similar_572,CHEMBL37026,0.661972,C(=O)(Nc1c(c(ccc1)C)C)c1cc(N)ccc1
1owh,1owh_ligand_similar_573,CHEMBL532076,0.661765,CCc1ccc(CN(Cc2ccc(C)cc2)Cc2ccc(NC(=O)C)cc2)cc1
1owh,1owh_ligand_similar_581,CHEMBL1945773,0.658228,c1c(cc2c(c1)cc(cc2)C(=O)Nc1ccc(cc1)c1cc(ccc1)C(=O)OC)N
1owh,1owh_ligand_similar_587,CHEMBL2322482,0.657895,c1cc(ccc1)c1ccc(cc1)C(=O)Nc1cccc(c1)CO
1owh,1owh_ligand_similar_605,CHEMBL1711673,0.657534,Fc1c(C(=O)Nc2ccc(cc2)C)ccc(F)c1
1owh,1owh_ligand_similar_606,CHEMBL1719907,0.578313,[O-][N+](=O)c1c2c(ccc1NC(=O)c1ccccc1)cccc2
1owh,1owh_ligand_similar_608,CHEMBL1577607,0.657534,Fc1ccc(C(=O)N(c2ccc(cc2)C)Cc2ccccc2)cc1
1owh,1owh_ligand_similar_619,CHEMBL352733,0.657534,C(=O)(Nc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1)c1ccc(cc1)C
1owh,1owh_ligand_similar_624,CHEMBL145382,0.657534,c1(C(=O)Nc2c(O)cccc2)cc2c(cc1O)cc(cc2)O
1owh,1owh_ligand_similar_627,CHEMBL17942,0.656716,C(=O)(c1ccc(N(CCCl)CCCl)cc1)N(C)C
1owh,1owh_ligand_similar_635,CHEMBL62255,0.654762,c1(C(=O)Nc2ccc(C(=N)N)cc2)c(ccc(c1)OC)O
1owh,1owh_ligand_similar_641,CHEMBL3322040,0.653846,c1c(ccc(c1)N(C(=O)c1c(cccc1)C)C)C(C(F)(F)F)(C(F)(F)F)O
1owh,1owh_ligand_similar_645,CHEMBL3306672,0.653333,c1c[n+](c2c(c1)cc(cc2)NC(=O)c1ccc(cc1)C(=O)Nc1ccc2c(c1)ccc[n+]2C)C
1owh,1owh_ligand_similar_653,CHEMBL134101,0.653333,S(=O)(=O)(Nc1ccc(C(=O)Nc2ccc(cc2)C)cc1)N(C)C
1owh,1owh_ligand_similar_66,CHEMBL1387825,0.774194,O=C(Nc1c2c(ccc1)cccc2)c1c(N)cccc1
1owh,1owh_ligand_similar_668,CHEMBL2426750,0.652778,c1(ccc(cc1)O)NC(=O)c1cc(cc(c1)O)O
1owh,1owh_ligand_similar_669,CHEMBL2064599,0.652778,c1(ccc(cc1)C(=O)Nc1ccccc1)OC
1owh,1owh_ligand_similar_688,CHEMBL38621,0.652778,C(=O)(c1c(N)cccc1)Nc1c(c(ccc1)C)C
1owh,1owh_ligand_similar_69,CHEMBL1214523,0.774194,C(=O)(Nc1ccc(cc1)C)c1cc(ccc1)C
1owh,1owh_ligand_similar_694,CHEMBL1214408,0.65,C(=O)(Nc1ccc(C(=O)OC)cc1)c1ccc(cc1)OC
1owh,1owh_ligand_similar_699,CHEMBL1874239,0.649351,O=C(Nc1ccc(cc1)CN1CCOCC1)c1c(cccc1)C
1owh,1owh_ligand_similar_70,CHEMBL1214522,0.774194,C(=O)(Nc1ccc(cc1)C)c1c(C)cccc1
1owh,1owh_ligand_similar_704,CHEMBL4068659,0.649123,c1c(ccc(c1)NC)C(=O)N
1owh,1owh_ligand_similar_706,CHEMBL3098158,0.649123,c1cc(ccc1N(C)C)C(=O)N
1owh,1owh_ligand_similar_71,CHEMBL291135,0.774194,C(=O)(Nc1ccc(cc1)C)c1cc(N)ccc1
1owh,1owh_ligand_similar_711,CHEMBL3401876,0.648649,c1c(cc2c(c1)cc(cc2)C(=O)Nc1c(cccc1)Cl)O
1owh,1owh_ligand_similar_718,CHEMBL1550842,0.648649,Brc1c(C(=O)Nc2ccc(C(F)(F)F)cc2)cccc1
1owh,1owh_ligand_similar_721,CHEMBL1492329,0.648649,O=C(Nc1c(NC(=O)C)cccc1)c1c(cc(cc1)C)C
1owh,1owh_ligand_similar_73,CHEMBL22955,0.774194,C(=O)(Nc1c(C)cccc1)c1ccc(N)cc1
1owh,1owh_ligand_similar_730,CHEMBL1868677,0.648649,FC(F)(F)c1cc(NC(=O)c2cc(NC(=O)c3c4c(ccc3)cccc4)ccc2)ccc1
1owh,1owh_ligand_similar_733,CHEMBL401308,0.648649,c1c(ccc(c1)C(=O)Nc1ccc(cc1)I)C(F)(F)F
1owh,1owh_ligand_similar_738,CHEMBL64092,0.648649,C(=O)(c1c(O)cccc1)Nc1ccc(C(F)(F)F)cc1
1owh,1owh_ligand_similar_748,CHEMBL1434575,0.64557,O=C(Nc1ccc(cc1)C(=O)C)c1ccc(n2cnnc2)cc1
1owh,1owh_ligand_similar_755,CHEMBL4063631,0.644737,c1cc(c2c(c1)cccn2)NC(=O)c1ccc(cc1)N
1owh,1owh_ligand_similar_761,CHEMBL1234186,0.644737,O=C(c1ccccc1)Nc1ccc(cc1)CCC(=O)O
1owh,1owh_ligand_similar_771,CHEMBL3608802,0.643836,c1cccc(c1N)C(=O)Nc1c(cccc1)Cl
1owh,1owh_ligand_similar_773,CHEMBL2234177,0.643836,c1cccc(c1)C(=O)Nc1cccc(c1Cl)Cl
1owh,1owh_ligand_similar_776,CHEMBL2381520,0.643836,c1ccc(cc1)NC(=O)c1cccc(c1)C(=O)NO
1owh,1owh_ligand_similar_779,CHEMBL2152594,0.643836,c1ccc(c(c1)C(=O)N)Nc1ccc(cc1)NC(=O)c1ccccc1
1owh,1owh_ligand_similar_780,CHEMBL2106015,0.643836,C(=O)(c1c(N)cccc1)Nc1c(cc(N(CC)CC)cc1)C
1owh,1owh_ligand_similar_789,CHEMBL1532914,0.643836,Fc1cc(C(=O)Nc2cc(NC(=O)c3ccccc3)ccc2)ccc1
1owh,1owh_ligand_similar_798,CHEMBL296797,0.643836,C(=O)(Nc1c(NC(=O)c2ccc(cc2)O)cccc1)c1ccc(cc1)O
